Date,Actual,Predicted
2018-08-05,140.18,140.89009585895087
2018-08-06,139.91,140.91540871538874
2018-08-07,141.72,140.66325531606154
2018-08-08,141.56,142.43979127468842
2018-08-09,140.44,142.31326854496754
2018-08-10,141.97,141.1370417076463
2018-08-11,142.84,142.71386146523693
2018-08-12,144.79,143.5697130374251
2018-08-13,145.96,145.51991920757712
2018-08-14,144.32,146.67308523417526
2018-08-15,145.09,145.02097383656275
2018-08-16,145.93,145.7600758491069
2018-08-17,147.11,146.63904349841334
2018-08-18,147.19,147.8558655899865
2018-08-19,147.46,147.93559875750253
2018-08-20,148.15,148.17803907193746
2018-08-21,146.17,148.88788906853878
2018-08-22,145.76,146.8605507024021
2018-08-23,146.54,146.4391138025907
2018-08-24,147.48,147.25471573137128
2018-08-25,148.22,148.19444291830726
2018-08-26,148.47,148.91723230299007
2018-08-27,147.34,149.28154138358718
2018-08-28,147.58,148.0518483408209
2018-08-29,147.41,148.29108067767294
2018-08-30,147.98,148.11955751553816
2018-08-31,149.12,148.6986317530376
2018-09-01,150.87,149.85922660058222
2018-09-02,152.11,151.60585804080355
2018-09-03,152.31,152.8261959678295
2018-09-04,152.61,153.01453606289797
2018-09-05,152.59,153.3343776804314
2018-09-06,152.17,153.30480262335553
2018-09-07,153.07,152.89091568624744
2018-09-08,153.53,153.80492085355624
2018-09-09,154.08,154.28312562484498
2018-09-10,153.73,154.78224048055142
2018-09-11,153.25,154.41777521777362
2018-09-12,154.21,153.9549548874895
2018-09-13,154.52,154.93790868418498
2018-09-14,155.03,155.2092376676144
2018-09-15,155.0,155.7754077038618
2018-09-16,155.48,155.6586279859419
2018-09-17,155.01,156.24753184006633
2018-09-18,151.58,155.71023641642853
2018-09-19,153.38,152.27112011194646
2018-09-20,153.68,154.04145805490396
2018-09-21,154.64,154.38416209338715
2018-09-22,152.58,155.3366133067738
2018-09-23,153.06,153.2922136936271
2018-09-24,153.39,153.7504326981434
2018-09-25,152.49,154.15273313652824
2018-09-26,152.89,153.21012197300652
2018-09-27,151.75,153.69616873523714
2018-09-28,151.74,152.50464656243403
2018-09-29,152.48,152.53297385752808
2018-09-30,152.67,153.24794827315594
2018-10-01,152.29,153.46900291348015
2018-10-02,151.4,153.03299192317112
2018-10-03,151.28,152.14296555325356
2018-10-04,151.44,151.99154705742737
2018-10-05,150.88,152.2008128658612
2018-10-06,150.15,151.6194289354094
2018-10-07,149.52,150.87612662568313
2018-10-08,149.36,150.2705933879059
2018-10-09,149.79,150.08079122477358
2018-10-10,149.14,150.52948902849496
2018-10-11,147.94,149.8665382130356
2018-10-12,148.65,148.6764174440689
2018-10-13,148.25,149.38399055624862
2018-10-14,144.84,149.0034134336238
2018-10-15,146.98,145.54019993620963
2018-10-16,146.98,147.6986664159686
2018-10-17,147.69,147.69834579015676
2018-10-18,147.69,148.41646079755316
2018-10-19,147.81,148.43480520115006
2018-10-20,147.51,148.51082462536485
2018-10-21,146.97,148.25984276995516
2018-10-22,146.68,147.6558006484649
2018-10-23,146.03,147.4227912279426
2018-10-24,146.55,146.74650989287278
2018-10-25,146.38,147.29322094000602
2018-10-26,146.68,147.11442842139732
2018-10-27,145.48,147.43681414229562
2018-10-28,145.29,146.20770557579712
2018-10-29,144.97,144.33754362566032
2018-10-30,145.22,144.62334819178756
2018-10-31,145.36,144.47064434838
2018-11-01,143.68,144.58742371227723
2018-11-02,144.15,142.9791971802388
2018-11-03,143.91,143.4566124513089
2018-11-04,143.91,143.2048878515525
2018-11-05,143.82,143.2246404190616
2018-11-06,145.56,143.13054046942332
2018-11-07,146.0,145.03566304078484
2018-11-08,144.95,145.5396290754663
2018-11-09,143.21,144.43269580279986
2018-11-10,139.0,142.7181988500743
2018-11-11,141.0,138.5016221578952
2018-11-12,141.0,140.49631157791714
2018-11-13,141.15,140.54133856895098
2018-11-14,140.71,140.67151961471836
2018-11-15,140.35,140.2822631264018
2018-11-16,140.46,139.85556051314268
2018-11-17,141.15,140.75060373670595
2018-11-18,141.55,141.62299913623528
2018-11-19,139.63,141.97712180740413
2018-11-20,138.66,140.04939118370444
2018-11-21,138.45,139.1443100734512
2018-11-22,137.92,138.93114049923753
2018-11-23,137.94,138.4096782414419
2018-11-24,136.85,138.4168802477693
2018-11-25,136.95,137.33039562611253
2018-11-26,139.82,137.2009114899766
2018-11-27,141.79,139.99214586089047
2018-11-28,141.04,141.87940984591845
2018-11-29,140.85,141.16594355760387
2018-11-30,140.72,140.97305283705185
2018-12-01,139.34,140.83671229798952
2018-12-02,140.3,139.50586191723144
2018-12-03,141.38,140.42753565406736
2018-12-04,142.04,141.56546388131318
2018-12-05,140.22,142.20779049909402
2018-12-06,138.48,140.3758882478711
2018-12-07,139.07,138.64519932733
2018-12-08,138.3,139.23146792144766
2018-12-09,138.3,138.4533715676938
2018-12-10,137.67,138.5008040002259
2018-12-11,137.42,137.8427059073559
2018-12-12,138.2,137.62653987812703
2018-12-13,138.24,138.3799230841382
2018-12-14,138.05,138.45316132444992
2018-12-15,137.07,138.22816381958543
2018-12-16,135.89,137.27364413922433
2018-12-17,135.9,136.10231371882364
2018-12-18,136.13,136.16277781976535
2018-12-19,136.79,136.4364293265884
2018-12-20,136.62,137.08628129247103
2018-12-21,136.87,136.90852513337109
2018-12-22,137.7,137.16341998057516
2018-12-23,136.06,138.00471787377015
2018-12-24,135.85,136.3278910698712
2018-12-25,135.19,136.15345069953707
2018-12-26,134.78,135.4391655886666
2018-12-27,134.93,135.1227580294154
2018-12-28,134.75,135.26047684939846
2018-12-29,134.0,135.21435264014116
2018-12-30,134.31,134.47443341989643
2018-12-31,135.13,134.79187095938553
